SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
ammonium iodide  ,Consumable,No,General,0,60,Notes,Ok,Unknown,12027-06-4,Approved List - No MSDS online,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium iron (II) sulfate ferrous ammonium sulfate,Consumable,No,General,700,60,Notes,Ok,Unknown,10045-89-3,#715,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium iron (III) sulfate ferric ammonium sulfate,Consumable,No,General,500,60,Notes,Ok,Unknown,10138-04-2,#713,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium molybdate  ,Consumable,No,General,200,60,Notes,Ok,Unknown,1235-67-7,Approved List - No MSDS online,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium nitrate  ,Consumable,No,General,1250,60,Notes,Ok,Unknown,6484-52-2,#300,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium oxalate monohydrate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,6009-70-7,#509 Archived,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium persulfate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,7727-54-0,#755 Discontinued / Archived,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium sulfate  ,Consumable,No,General,600,60,Notes,Ok,Unknown,7783-20-2,#516,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium thiocyanate  ,Consumable,No,General,350,60,Notes,Ok,Unknown,1762-95-4,#332,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
ammonium tungsten oxide ,Consumable,No,General,0,60,Notes,Ok,Unknown,28300-74-5,#558,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
amyl acetate pentyl acetate,Consumable,No,General,0,60,Notes,Ok,Unknown,628-63-7,#736,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
amylase beta amylase,Consumable,No,General,0,60,Notes,Ok,Unknown,9000-91-3,#315,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
antimony potassium tartrate ,Consumable,No,General,100,60,Notes,Ok,Unknown,11071-15-1,#691,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
ascorbic acid  ,Consumable,No,General,30,60,Notes,Ok,Unknown,50-81-7,#732,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
barium acetate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,543-80-6,Approved List - No MSDS online,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
barium carbonate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,513-77-9,Approved List - No MSDS online,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
barium chloride  ,Consumable,No,General,500,60,Notes,Ok,Unknown,10361-37-2,#290,1,General,2017,Thu Apr 14 2016 at 12:42 PM
barium hydroxide octahydrate  ,Consumable,No,General,600,60,Notes,Ok,Unknown,12230-71-6,#289,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
barium nitrate  ,Consumable,No,General,750,60,Notes,Ok,Unknown,10022-31-8,#311,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
